Date,Open,High,Low,Close
07/08/2018,"6,527","6,811","6,521","6,749"
07/07/2018,"6,569","6,618","6,514","6,527"
07/06/2018,"6,508","6,623","6,455","6,569"
07/05/2018,"6,687","6,692","6,454","6,508"
07/04/2018,"6,607","6,784","6,420","6,687"
07/03/2018,"6,620","6,668","6,538","6,608"
07/02/2018,"6,359","6,665","6,279","6,620"
07/01/2018,"6,350","6,427","6,262","6,359"
06/30/2018,"5,897","6,503","5,897","6,350"
06/29/2018,"6,043","6,046","5,800","5,902"
06/28/2018,"6,127","6,176","6,033","6,042"
06/27/2018,"6,183","6,246","6,007","6,127"
06/26/2018,"6,250","6,271","6,137","6,183"
06/25/2018,"6,188","6,317","6,086","6,250"
06/24/2018,"6,135","6,252","5,785","6,188"
06/23/2018,"6,073","6,174","5,938","6,134"
06/22/2018,"6,718","6,742","6,022","6,073"
06/21/2018,"6,750","6,786","6,685","6,718"
06/20/2018,"6,696","6,809","6,562","6,750"
06/19/2018,"6,727","6,825","6,675","6,695"
06/18/2018,"6,490","6,793","6,388","6,727"
06/17/2018,"6,525","6,569","6,449","6,490"
06/16/2018,"6,498","6,540","6,334","6,525"
06/15/2018,"6,656","6,683","6,452","6,498"
06/14/2018,"6,259","6,700","6,241","6,659"
06/13/2018,"6,529","6,610","6,133","6,252"
06/12/2018,"6,762","6,899","6,456","6,529"
06/11/2018,"6,719","6,816","6,652","6,762"
06/10/2018,"7,631","7,631","6,647","6,719"
06/09/2018,"7,646","7,679","7,576","7,632"
06/08/2018,"7,660","7,694","7,545","7,646"
06/07/2018,"7,622","7,750","7,616","7,660"
06/06/2018,"7,627","7,670","7,495","7,622"
06/05/2018,"7,524","7,648","7,373","7,627"
06/04/2018,"7,727","7,755","7,457","7,524"
06/03/2018,"7,616","7,769","7,598","7,727"
06/02/2018,"7,438","7,683","7,437","7,616"
06/01/2018,"7,539","7,600","7,355","7,438"
05/31/2018,"7,338","7,599","7,324","7,539"
05/30/2018,"7,499","7,552","7,286","7,338"
05/29/2018,"7,218","7,519","7,054","7,499"
05/28/2018,"7,313","7,431","7,177","7,220"
05/27/2018,"7,526","7,607","7,227","7,313"
05/26/2018,"7,448","7,612","7,363","7,526"
05/25/2018,"7,549","7,650","7,345","7,448"
05/24/2018,"7,588","7,722","7,273","7,555"
05/23/2018,"8,106","8,108","7,443","7,581"
05/22/2018,"8,409","8,417","8,093","8,106"
05/21/2018,"8,554","8,566","8,325","8,409"
05/20/2018,"8,266","8,583","8,172","8,555"
05/19/2018,"8,227","8,393","8,154","8,275"
05/18/2018,"8,206","8,274","7,931","8,225"
05/17/2018,"8,294","8,459","8,133","8,206"
05/16/2018,"8,524","8,539","8,110","8,294"
05/15/2018,"8,816","8,844","8,435","8,529"
05/14/2018,"8,715","8,879","8,296","8,842"
05/13/2018,"8,436","8,734","8,343","8,711"
05/12/2018,"8,436","8,643","8,221","8,436"
05/11/2018,"9,094","9,127","8,389","8,436"
05/10/2018,"9,252","9,383","9,054","9,094"
05/09/2018,"9,158","9,360","8,976","9,253"
05/08/2018,"9,434","9,455","9,050","9,158"
05/07/2018,"9,518","9,635","9,189","9,434"
05/06/2018,"9,743","9,910","9,409","9,540"
05/05/2018,"9,689","9,955","9,676","9,743"
05/04/2018,"9,656","9,791","9,540","9,689"
05/03/2018,"9,181","9,726","9,162","9,658"
05/02/2018,"9,013","9,182","8,984","9,168"
05/01/2018,"9,275","9,282","8,842","9,013"
04/30/2018,"9,293","9,443","9,125","9,275"
04/29/2018,"9,365","9,537","9,183","9,294"
04/28/2018,"8,976","9,419","8,874","9,365"
04/27/2018,"9,108","9,372","8,964","8,973"
04/26/2018,"9,074","9,172","8,661","9,108"
04/25/2018,"9,451","9,747","8,734","9,074"
04/24/2018,"8,932","9,459","8,914","9,451"
04/23/2018,"8,894","8,987","8,762","8,930"
04/22/2018,"8,773","9,010","8,754","8,887"
04/21/2018,"8,522","9,021","8,512","8,773"
04/20/2018,"8,234","8,555","8,221","8,522"
04/19/2018,"8,188","8,294","8,105","8,234"
04/18/2018,"7,915","8,212","7,867","8,188"
04/17/2018,"7,990","8,151","7,834","7,913"
04/16/2018,"8,287","8,408","7,909","7,990"
04/15/2018,"8,072","8,389","7,967","8,287"
04/14/2018,"7,902","8,175","7,813","8,072"
04/13/2018,"7,730","8,219","7,711","7,893"
04/12/2018,"6,890","8,055","6,766","7,727"
04/11/2018,"6,840","6,959","6,787","6,889"
04/10/2018,"6,665","6,860","6,660","6,840"
04/09/2018,"6,953","7,171","6,617","6,665"
04/08/2018,"7,002","7,095","6,860","6,956"
04/07/2018,"6,603","7,050","6,538","7,006"
04/06/2018,"6,749","6,850","6,513","6,602"
04/05/2018,"6,847","6,919","6,584","6,749"
04/04/2018,"7,405","7,438","6,731","6,847"
04/03/2018,"6,979","7,507","6,978","7,411"
04/02/2018,"6,892","7,108","6,760","6,920"
04/01/2018,"6,926","7,035","6,443","6,829"
03/31/2018,"6,912","7,214","6,760","6,926"
03/30/2018,"7,069","7,324","6,594","6,912"
03/29/2018,"7,871","8,000","6,916","6,846"
03/28/2018,"7,998","8,096","7,745","7,871"
03/27/2018,"7,885","8,252","7,751","7,997"
03/26/2018,"8,622","8,646","7,863","7,885"
03/25/2018,"8,679","8,701","8,381","8,620"
03/24/2018,"8,655","9,000","8,633","8,679"
03/23/2018,"8,613","8,766","8,296","8,655"
03/22/2018,"8,920","9,085","8,495","8,626"
03/21/2018,"8,994","9,160","8,613","8,613"
03/20/2018,"8,381","9,035","8,324","8,920"
03/19/2018,"8,271","8,994","8,068","8,994"
03/18/2018,"7,950","8,381","7,336","8,381"
03/17/2018,"8,502","8,522","7,756","7,951"
03/16/2018,"8,303","8,600","7,924","8,504"
03/15/2018,"8,019","8,413","7,677","8,508"
03/14/2018,"9,101","9,313","7,955","8,019"
03/13/2018,"9,104","9,475","8,861","8,308"
03/12/2018,"9,531","9,885","8,778","9,104"
03/11/2018,"8,838","9,715","8,475","9,539"
03/10/2018,"9,022","9,505","8,787","8,838"
03/09/2018,"9,341","9,409","8,371","9,053"
03/08/2018,"9,943","10,109","9,076","9,341"
03/07/2018,"10,788","10,888","9,468","9,947"
03/06/2018,"11,560","11,603","10,585","10,793"
03/05/2018,"11,400","11,660","11,335","11,561"
03/04/2018,"11,286","11,475","11,068","11,397"
03/03/2018,"11,016","11,498","10,952","11,286"
03/02/2018,"10,931","11,166","10,784","11,034"
03/01/2018,"10,532","11,074","10,222","10,924"
02/28/2018,"10,745","11,044","10,384","10,558"
02/27/2018,"10,366","10,852","10,147","10,745"
02/26/2018,"9,588","10,443","9,386","10,366"
02/25/2018,"9,499","9,858","9,305","9,588"
02/24/2018,"9,916","10,510","9,381","9,499"
02/23/2018,"9,912","10,398","9,593","9,966"
02/22/2018,"10,291","10,914","9,731","9,899"
02/21/2018,"11,712","11,768","10,244","10,291"
02/20/2018,"11,079","11,746","11,056","11,712"
02/19/2018,"10,772","11,255","10,314","11,079"
02/18/2018,"10,845","11,279","10,156","10,763"
02/17/2018,"10,084","10,879","10,053","10,845"
02/16/2018,"9,883","10,293","9,719","10,058"
02/15/2018,"9,289","10,218","9,251","9,883"
02/14/2018,"8,553","9,368","8,483","9,283"
02/13/2018,"8,830","8,977","8,370","8,564"
02/12/2018,"8,313","8,903","8,030","8,830"
02/11/2018,"8,269","8,587","7,845","8,313"
02/10/2018,"8,548","9,071","8,165","8,269"
02/09/2018,"8,174","8,719","7,755","8,513"
02/08/2018,"8,096","8,621","7,548","8,208"
02/07/2018,"7,755","8,583","7,208","8,096"
02/06/2018,"7,152","7,957","5,947","7,755"
02/05/2018,"8,085","8,416","6,584","7,152"
02/04/2018,"9,159","9,363","7,860","8,095"
02/03/2018,"8,588","9,471","8,176","9,157"
02/02/2018,"9,146","9,164","7,695","8,524"
02/01/2018,"9,999","10,203","8,564","9,146"
01/31/2018,"10,125","10,334","9,628","9,999"
01/30/2018,"11,224","11,224","9,810","10,138"
01/29/2018,"11,762","11,765","11,008","11,223"
01/28/2018,"11,554","11,942","11,317","11,757"
01/27/2018,"10,899","11,574","10,773","11,554"
01/26/2018,"11,241","11,609","10,321","10,899"
